Season,Team,Batter,BatSide,ThrowHand,page_id,birthplace,birthdate,height_cm,weight_kg,pro_debut_year,draft_info,elementary_school,middle_school,high_school,university,school,position
2026,LG,구본혁,우,우,2522898,대한민국 서울특별시,1997-01-11,175.0,68.0,2019.0,2019년 2차 6라운드(LG 트윈스),서울중대초등학교,잠신중학교,장충고등학교,동국대학교,서울중대초등학교-잠신중학교-장충고등학교-동국대학교,3루수
2026,LG,박해민,좌,우,844422,대한민국 서울특별시,1990-02-24,180.0,75.0,2012.0,지명없음(육성선수 입단),서울영중초등학교,양천중학교,신일고등학교,한양대학교,서울영중초등학교-양천중학교-신일고등학교-한양대학교,중견수
2026,KIA,김호령,우,우,1146368,대한민국 경기도 안산시,1992-04-30,178.0,85.0,2015.0,2015년 2차 10라운드(KIA 타이거즈),경기 관산초등학교,경기 중앙중학교,군산상업고등학교,동국대학교,경기 관산초등학교-경기 중앙중학교-군산상업고등학교-동국대학교,중견수
2026,KIA,카스트로,좌,우,10000009,,1993-11-30,183.0,,,,,,,,,좌익수
2026,KIA,박재현,좌,우,3977734,대한민국 인천광역시,2006-12-08,180.0,75.0,2025.0,2025년 3라운드(KIA 타이거즈),동막초등학교,재능중학교,인천고등학교,,동막초등학교-재능중학교-인천고등학교,우익수
2026,KIA,김도영,우,우,3196494,대한민국 광주광역시,2003-10-02,183.0,85.0,2022.0,2022년 1차 지명(KIA 타이거즈),광주대성초등학교,광주동성중학교,광주동성고등학교,,광주대성초등학교-광주동성중학교-광주동성고등학교,3루수
2026,KIA,나성범,좌,좌,678785,대한민국 광주광역시,1989-10-03,183.0,100.0,2012.0,2012년 2라운드(NC 다이노스),광주대성초등학교,광주진흥중학교,광주진흥고등학교,연세대학교,광주대성초등학교-광주진흥중학교-광주진흥고등학교-연세대학교,지명타자
2026,KIA,김선빈,좌,좌,222661,대한민국 전라남도 화순군,1989-12-18,165.0,66.0,2008.0,2008년 2차 6순위(KIA 타이거즈),화순초등학교,화순중학교,화순고등학교,,화순초등학교-화순중학교-화순고등학교,2루수
2026,KIA,김규성,좌,우,2704538,대한민국 서울특별시,1997-03-08,185.0,88.0,2016.0,2016년 2차 7라운드(KIA 타이거즈),서울갈산초등학교,선린중학교,선린인터넷고등학교,,서울갈산초등학교-선린중학교-선린인터넷고등학교,1루수
2026,KIA,오선우,좌,좌,2506627,대한민국 서울특별시,1996-12-13,186.0,95.0,2019.0,2019년 2차 5라운드(KIA 타이거즈),서울 성동초등학교,자양중학교,배명고등학교,인하대학교,서울 성동초등학교-자양중학교-배명고등학교-인하대학교,1루수
2026,KIA,박정우,좌,좌,2966764,대한민국 서울특별시,1998-02-01,175.0,68.0,2017.0,2017년 2차 7라운드(KIA 타이거즈),서울역삼초등학교,언북중학교,덕수고등학교,,서울역삼초등학교-언북중학교-덕수고등학교,좌익수
2026,KIA,윤도현,우,우,3638750,대한민국 광주광역시,2003-05-07,181.0,84.0,2022.0,2022년 2차 2라운드(KIA 타이거즈),광주화정초등학교,무등중학교,광주제일고등학교,,광주화정초등학교-무등중학교-광주제일고등학교,1루수
2026,KIA,김태군,우,우,289623,대한민국 부산광역시,1989-12-30,182.0,92.0,2008.0,2008년 2차 3라운드(LG 트윈스),양정초등학교,부산 대동중학교,부산고등학교,,양정초등학교-부산 대동중학교-부산고등학교,포수
2026,KIA,정현창,좌,우,4063300,경상남도 창원시,2006-07-14,178.0,75.0,2025.0,2025년 7라운드(NC 다이노스),김해부곡초등학교,토현중학교,부산공업고등학교,,김해부곡초등학교-토현중학교-부산공업고등학교,2루수
2026,KIA,박민,우,우,2825638,대한민국 서울특별시,2001-06-05,183.0,85.0,2020.0,2020년 2차 1라운드(KIA 타이거즈),서울갈산초등학교,서울 성남중학교,야탑고등학교,,서울갈산초등학교-서울 성남중학교-야탑고등학교,2루수
2026,KIA,한준수,좌,우,1797505,대한민국 광주광역시,1999-02-13,184.0,95.0,2018.0,2018년 1차 지명(KIA 타이거즈),광주서석초등학교,광주동성중학교,광주동성고등학교,,광주서석초등학교-광주동성중학교-광주동성고등학교,포수
2026,SSG,박성한,좌,우,1838428,대한민국 전라남도 순천시,1998-03-30,180.0,77.0,2017.0,2017년 2차 2라운드(SK 와이번스),순천북초등학교,여수중학교,효천고등학교,,순천북초등학교-여수중학교-효천고등학교,유격수
2026,SSG,에레디아,우,좌,3329386,쿠바 마탄사스주 마탄사스,1991-01-31,178.0,88.0,2016.0,아마추어 자유계약 (시애틀 매리너스),,,,,,좌익수
2026,SSG,최정,우,우,74405,대한민국 경기도 이천시,1987-02-28,180.0,90.0,2005.0,2005년 1차 지명(SK 와이번스),대일초등학교,평촌중학교,유신고등학교,,대일초등학교-평촌중학교-유신고등학교,3루수
2026,SSG,김재환,좌,우,450679,대한민국 강원특별자치도 춘천시,1988-09-22,183.0,90.0,2008.0,2008년 2차 1라운드(두산 베어스),영랑초등학교,상인천중학교,인천고등학교,,영랑초등학교-상인천중학교-인천고등학교,지명타자
2026,SSG,고명준,우,우,2966322,대한민국 충청북도 청주시,2002-07-08,185.0,94.0,2021.0,2021년 2차 2라운드(SK 와이번스),충북 서원초등학교,세광중학교,세광고등학교,,충북 서원초등학교-세광중학교-세광고등학교,1루수
2026,SSG,최지훈,좌,우,2698101,대한민국 광주광역시,1997-07-23,178.0,82.0,2020.0,2020년 2차 3라운드(SK 와이번스),광주수창초등학교,무등중학교,광주제일고등학교,동국대학교,광주수창초등학교-무등중학교-광주제일고등학교-동국대학교,중견수
2026,SSG,조형우,우,우,3234622,대한민국 광주광역시,2002-04-04,187.0,95.0,2021.0,2021년 2차 1라운드(SK 와이번스),송정동초등학교,무등중학교,광주제일고등학교,,송정동초등학교-무등중학교-광주제일고등학교,포수
2026,SSG,김성욱,우,우,678893,대한민국 광주광역시,1993-05-01,181.0,83.0,2012.0,2012년 3라운드(NC 다이노스),광주서림초등학교,광주충장중학교,광주진흥고등학교,,광주서림초등학교-광주충장중학교-광주진흥고등학교,우익수
2026,SSG,안상현,우,우,2020561,대한민국 경상남도 합천군,1997-01-27,178.0,74.0,2016.0,2016년 2차 3라운드(SK 와이번스),사파초등학교,선린중학교,마산용마고등학교,,사파초등학교-선린중학교-마산용마고등학교,2루수
2026,SSG,정준재,좌,우,3839080,대한민국 인천광역시,2003-01-03,165.0,68.0,2024.0,2024년 5라운드(SSG 랜더스),상인천초등학교,동인천중학교,강릉고등학교,동국대학교,상인천초등학교-동인천중학교-강릉고등학교-동국대학교,2루수
2026,SSG,오태곤,우,우,510675,대한민국 서울특별시,1991-11-18,186.0,88.0,2010.0,2010년 3라운드(롯데 자이언츠),서울쌍문초등학교,서울 신월중학교,서울 청원고등학교,,서울쌍문초등학교-서울 신월중학교-서울 청원고등학교,1루수
2026,롯데,레이예스,양,우,3730363,베네수엘라,1994-10-05,195.0,88.0,2018.0,아마추어 FA (애틀랜타 브레이브스),,,,,,좌익수
2026,롯데,손호영,우,우,2699438,대한민국 경기도 안양시,1994-08-23,182.0,88.0,2014.0,2020년 2차 3라운드(LG 트윈스),의왕부곡초등학교,평촌중학교,충훈고등학교,,의왕부곡초등학교-평촌중학교-충훈고등학교,3루수
2026,롯데,윤동희,우,우,3227755,대한민국 경기도 고양시,2003-09-18,187.0,85.0,2022.0,2022년 2차 3라운드(롯데 자이언츠),희망대초등학교,대원중학교,야탑고등학교,,희망대초등학교-대원중학교-야탑고등학교,우익수
2026,롯데,전준우,우,우,247282,대한민국 대구광역시,1986-02-25,184.0,98.0,2008.0,<del>2004년 2차 7라운드(롯데 자이언츠)</del>,흥무초등학교,경주중학교,경주고등학교,건국대학교,흥무초등학교-경주중학교-경주고등학교-건국대학교,지명타자
2026,롯데,신윤후,우,우,2513790,대한민국 경상남도 창원시,1996-01-05,177.0,77.0,2019.0,2019년 2차 10라운드(롯데 자이언츠),경남 무학초등학교,마산중학교,마산고등학교,동의대학교,경남 무학초등학교-마산중학교-마산고등학교-동의대학교,좌익수
2026,롯데,유강남,우,우,588862,대한민국 서울특별시,1992-07-15,182.0,88.0,2011.0,2011년 2차 7라운드(LG 트윈스),서울 청원초등학교,휘문중학교,서울고등학교,,서울 청원초등학교-휘문중학교-서울고등학교,포수
2026,롯데,손성빈,우,우,2852561,대한민국 경기도 성남시,2002-01-14,183.0,92.0,2021.0,2021년 1차 지명 (롯데 자이언츠),희망대초등학교,경기 신흥중학교,장안고등학교,,희망대초등학교-경기 신흥중학교-장안고등학교,포수
2026,롯데,노진혁,좌,우,678900,대한민국 광주광역시,1989-07-15,184.0,80.0,2012.0,2012년 특별우선지명(NC 다이노스),광주대성초등학교,광주동성중학교,광주동성고등학교,성균관대학교,광주대성초등학교-광주동성중학교-광주동성고등학교-성균관대학교,1루수
2026,롯데,박승욱,좌,우,792296,대한민국 대구광역시,1992-12-04,184.0,83.0,2012.0,2012년 2차 3라운드(SK 와이번스),대구칠성초등학교,경복중학교,대구상원고등학교,,대구칠성초등학교-경복중학교-대구상원고등학교,1루수
2026,롯데,한태양,우,우,3224552,대한민국 부산광역시,2003-09-15,181.0,76.0,2022.0,2022년 2차 6라운드(롯데 자이언츠),서울역삼초등학교,언북중학교,덕수고등학교,,서울역삼초등학교-언북중학교-덕수고등학교,2루수
2026,롯데,전민재,우,우,2647420,대한민국 충청남도 천안시,1999-06-30,181.0,73.0,2018.0,2018년 2차 4라운드(두산 베어스),천안남산초등학교,천안북중학교,대전고등학교,,천안남산초등학교-천안북중학교-대전고등학교,유격수
2026,롯데,장두성,좌,우,2966767,대한민국 인천광역시,1999-09-16,176.0,75.0,2018.0,2018년 2차 10라운드(롯데 자이언츠),인천축현초등학교,재능중학교,동산고등학교,,인천축현초등학교-재능중학교-동산고등학교,우익수
2026,롯데,김민성,우,우,319585,대한민국 서울특별시,1988-12-17,181.0,94.0,2007.0,2007년 2차 2라운드(롯데 자이언츠),서울고명초등학교,잠신중학교,덕수정보산업고등학교,영남사이버대학교,서울고명초등학교-잠신중학교-덕수정보산업고등학교-영남사이버대학교,3루수
2026,롯데,황성빈,좌,우,3212874,대한민국 경기도 안산시,1997-12-19,172.0,76.0,2020.0,2020년 2차 5라운드(롯데 자이언츠),경기 관산초등학교,경기 중앙중학교,소래고등학교,경남대학교,경기 관산초등학교-경기 중앙중학교-소래고등학교-경남대학교,중견수
2026,삼성,이재현,우,우,3196393,대한민국 서울특별시,2003-02-04,180.0,82.0,2022.0,2022년 1차 지명(삼성 라이온즈),서울이수초등학교,선린중학교,서울고등학교,,서울이수초등학교-선린중학교-서울고등학교,유격수
2026,삼성,김성윤,좌,좌,1786762,대한민국 부산광역시,1999-02-02,163.0,62.0,2017.0,2017년 2차 4라운드(삼성 라이온즈),부산 창신초등학교,양산 원동중학교,포항제철고등학교,,부산 창신초등학교-양산 원동중학교-포항제철고등학교,우익수
2026,삼성,구자욱,좌,우,844051,대한민국 대구광역시,1993-02-12,191.0,85.0,2012.0,2012년 2라운드(삼성 라이온즈),대구본리초등학교,경복중학교,대구고등학교,,대구본리초등학교-경복중학교-대구고등학교,좌익수
2026,삼성,디아즈,좌,좌,3869434,도미니카 공화국,1996-11-19,188.0,105.0,2013.0,,,,,,,1루수
2026,삼성,최형우,좌,우,223389,대한민국 전라북도 전주시,1983-12-16,180.0,106.0,2002.0,2002년 2차 6라운드(삼성 라이온즈),전주진북초등학교,전주동중학교,전주고등학교,,전주진북초등학교-전주동중학교-전주고등학교,지명타자
2026,삼성,홍현빈,좌,우,1749290,대한민국 경기도 수원시,1997-08-29,174.0,70.0,2017.0,2017년 2차 3라운드(kt wiz),수원신곡초등학교,매송중학교,유신고등학교,,수원신곡초등학교-매송중학교-유신고등학교,
2026,삼성,전병우,우,우,2034879,대한민국 부산광역시,1992-10-24,182.0,93.0,2018.0,2015년 2차 3라운드(롯데 자이언츠),동삼초등학교,경남중학교,개성고등학교,동아대학교,동삼초등학교-경남중학교-개성고등학교-동아대학교,3루수
2026,삼성,심재훈,우,우,3997203,대한민국 경기도 안산시,2006-03-03,180.0,80.0,2025.0,2025년 2라운드(삼성 라이온즈),경기삼일초등학교,평촌중학교,유신고등학교,,경기삼일초등학교-평촌중학교-유신고등학교,2루수
2026,삼성,김영웅,좌,우,3283321,대한민국 경기도 평택시,2003-08-24,183.0,81.0,2022.0,2022년 2차 1라운드(삼성 라이온즈),공주중동초등학교,야로중학교,물금고등학교,,공주중동초등학교-야로중학교-물금고등학교,3루수
2026,삼성,강민호,우,우,149157,대한민국 제주특별자치도,1985-08-18,185.0,100.0,2004.0,2004년 2차 3라운드(롯데 자이언츠),제주 신광초등학교,포항제철중학교,포항제철공업고등학교,국제디지털대학교,제주 신광초등학교-포항제철중학교-포항제철공업고등학교-국제디지털대학교,포수
2026,삼성,함수호,좌,좌,4070424,경상북도 구미시,2006-03-10,181.0,88.0,2025.0,2025년 4라운드(삼성 라이온즈),인동초등학교,협성경복중학교,대구상원고등학교,,인동초등학교-협성경복중학교-대구상원고등학교,우익수
2026,삼성,박세혁,좌,우,836256,대한민국 서울특별시,1990-01-09,181.0,86.0,2012.0,2012년 5라운드(두산 베어스),서울수유초등학교,서울 신일중학교,신일고등학교,고려대학교,서울수유초등학교-서울 신일중학교-신일고등학교-고려대학교,포수
2026,삼성,류지혁,좌,우,793973,대한민국 서울특별시,1994-01-13,181.0,75.0,2012.0,2012년 4라운드(두산 베어스),서울 청원초등학교,선린중학교,충암고등학교,,서울 청원초등학교-선린중학교-충암고등학교,2루수
2026,삼성,김지찬,좌,우,2697432,미국 아이오와주,2001-03-08,163.0,64.0,2020.0,2020년 2차 2라운드(삼성 라이온즈),백사초등학교,모가중학교,라온고등학교,대구대학교,백사초등학교-모가중학교-라온고등학교-대구대학교,중견수
2026,두산,박찬호,우,우,1138034,대한민국 대구광역시,1995-06-05,175.0,75.0,2014.0,2014년 2차 5라운드 지명(KIA 타이거즈),서울신답초등학교,건국대학교 사범대학 부속중학교,장충고등학교,,서울신답초등학교-건국대학교 사범대학 부속중학교-장충고등학교,유격수
2026,두산,정수빈,좌,좌,323457,대한민국 경기도 수원시,1990-10-07,175.0,70.0,2009.0,2009년 2차 5라운드(두산 베어스),수원신곡초등학교,수원북중학교,유신고등학교,이후 경북대학교,수원신곡초등학교-수원북중학교-유신고등학교-이후 경북대학교,중견수
2026,두산,카메론,우,우,10000010,,1997-01-15,183.0,,,,,,,,,우익수
2026,두산,김민석,좌,우,3611562,대한민국 경기도 부천시,2004-05-09,185.0,83.0,2023.0,2023년 1라운드(롯데 자이언츠),경기 신도초등학교,휘문중학교,휘문고등학교,,경기 신도초등학교-휘문중학교-휘문고등학교,좌익수
2026,두산,양의지,우,우,450095,대한민국 광주직할시,1987-06-05,180.0,95.0,2006.0,2006년 2차 8라운드(두산 베어스),송정동초등학교,무등중학교,광주진흥고등학교,,송정동초등학교-무등중학교-광주진흥고등학교,포수
2026,두산,윤준호,우,우,3891756,대한민국 부산광역시,2000-11-14,183.0,90.0,2023.0,2023년 한국프로야구 신인 드래프트 5라운드 9순위 49번(두산 베어스),안락초등학교,센텀중학교,경남고등학교,동의대학교,안락초등학교-센텀중학교-경남고등학교-동의대학교,포수
2026,두산,김인태,좌,좌,864844,대한민국 경상북도 포항시,1994-07-03,178.0,78.0,2013.0,2013년 2차 1라운드(두산 베어스),포항제철서초등학교,천안북중학교,북일고등학교,,포항제철서초등학교-천안북중학교-북일고등학교,좌익수
2026,두산,강승호,우,우,873434,대한민국 전라남도 순천시,1994-02-09,178.0,88.0,2013.0,2013년 2차 1라운드(LG 트윈스),순천북초등학교,천안북중학교,북일고등학교,,순천북초등학교-천안북중학교-북일고등학교,1루수
2026,두산,양석환,우,우,1035495,대한민국 서울특별시,1991-07-15,185.0,90.0,2014.0,2014년 2차 3라운드(LG 트윈스),서울백운초등학교,서울 신일중학교,신일고등학교,동국대학교,서울백운초등학교-서울 신일중학교-신일고등학교-동국대학교,1루수
2026,두산,박준순,우,우,3988775,대한민국 서울특별시 동대문구,2006-07-13,180.0,79.0,2025.0,2025년 1라운드(두산 베어스),서울배봉초등학교,청량중학교,덕수고등학교,,서울배봉초등학교-청량중학교-덕수고등학교,2루수
2026,두산,안재석,좌,우,2851314,대한민국 서울특별시,2002-02-15,185.0,75.0,2021.0,2021년 1차 지명(두산 베어스),서울성내초등학교,배재중학교,서울고등학교,,서울성내초등학교-배재중학교-서울고등학교,3루수
2026,두산,박지훈,우,우,2736212,대한민국 경상남도 김해시,2000-09-07,183.0,80.0,2020.0,2020년 2차 5라운드(두산 베어스),김해삼성초등학교,경남중학교,마산고등학교,,김해삼성초등학교-경남중학교-마산고등학교,우익수
2026,NC,김주원,양,우,2852202,대한민국 경기도 군포시,2002-07-30,185.0,83.0,2021.0,2021년 2차 1라운드(NC 다이노스),경기 삼일초등학교,경기 중앙중학교,유신고등학교,,경기 삼일초등학교-경기 중앙중학교-유신고등학교,유격수
2026,NC,권희동,우,우,923902,대한민국 경상북도 경주시,1990-12-30,177.0,85.0,2013.0,2013년 9라운드(NC 다이노스),경주 동천초등학교,경주중학교,경주고등학교,경남대학교,경주 동천초등학교-경주중학교-경주고등학교-경남대학교,좌익수
2026,NC,고준휘,좌,좌,10000011,,2007-08-12,181.0,,,,,,,,,좌익수
2026,NC,박민우,좌,우,678905,대한민국 서울특별시,1993-02-06,185.0,80.0,2012.0,2012년 1라운드(NC 다이노스),서울마포초등학교,선린중학교,휘문고등학교,,서울마포초등학교-선린중학교-휘문고등학교,2루수
2026,NC,김한별,우,우,3196401,대한민국 서울특별시,2001-01-18,177.0,85.0,2020.0,2020년 2차 7라운드(NC 다이노스),효제초등학교,선린중학교,배재고등학교,,효제초등학교-선린중학교-배재고등학교,2루수
2026,NC,데이비슨,우,우,3747555,미국,1991-03-26,190.0,104.0,2013.0,1라운드 35순위 (애리조나 다이아몬드백스),,,,,,지명타자
2026,NC,박건우,우,우,373391,대한민국 서울특별시,1990-09-08,184.0,80.0,2009.0,2009년 2차 2라운드(두산 베어스),서울역삼초등학교,이수중학교,서울고등학교,,서울역삼초등학교-이수중학교-서울고등학교,우익수
2026,NC,천재환,우,우,3243743,대한민국 대전광역시,1994-04-01,181.0,83.0,2017.0,지명없음(육성선수 입단),대전신흥초등학교,공주중학교,화순고등학교,고려대학교,대전신흥초등학교-공주중학교-화순고등학교-고려대학교,좌익수
2026,NC,김휘집,우,우,2851452,대한민국 서울특별시,2002-01-01,181.0,92.0,2021.0,2021년 2차 1라운드(키움 히어로즈),서울양목초등학교,대치중학교,신일고등학교,,서울양목초등학교-대치중학교-신일고등학교,3루수
2026,NC,김형준,우,우,1986399,대한민국 서울특별시,1999-11-02,187.0,98.0,2018.0,2018년 2차 1라운드(NC 다이노스),서울가동초등학교,세광중학교,세광고등학교,,서울가동초등학교-세광중학교-세광고등학교,포수
2026,NC,서호철,우,우,2715863,대한민국 전라남도 순천시,1996-10-16,179.0,85.0,2019.0,2019년 2차 9라운드(NC 다이노스),순천남산초등학교,순천이수중학교,순천효천고등학교,동의대학교,순천남산초등학교-순천이수중학교-순천효천고등학교-동의대학교,1루수
2026,NC,최정원,좌,우,2697419,대한민국 충청북도 청주시,2000-06-24,176.0,75.0,2019.0,2019년 2차 7라운드(NC 다이노스),충북 서원초등학교,청주중학교,청주고등학교,,충북 서원초등학교-청주중학교-청주고등학교,중견수
2026,키움,이주형,좌,우,2951426,대한민국 부산광역시,2001-04-02,183.0,80.0,2020.0,2020년 2차 2라운드(LG 트윈스),송수초등학교,센텀중학교,경남고등학교,,송수초등학교-센텀중학교-경남고등학교,중견수
2026,키움,안치홍,우,우,247494,대한민국 경기도 구리시,1990-07-02,178.0,97.0,2009.0,2009년 2차 1라운드(KIA 타이거즈),구지초등학교,대치중학교,서울고등학교,,구지초등학교-대치중학교-서울고등학교,지명타자
2026,키움,브룩스,좌,좌,10000012,,1995-07-03,180.0,,,,,,,,,1루수
2026,키움,오선진,우,우,308768,대한민국 서울특별시,1989-07-07,178.0,80.0,2008.0,2008년 2차 4라운드(한화 이글스),서울화곡초등학교,성남중학교,성남고등학교,,서울화곡초등학교-성남중학교-성남고등학교,3루수
2026,키움,최주환,좌,우,450682,대한민국 광주광역시,1988-02-28,178.0,73.0,2006.0,2006년 2차 6라운드(두산 베어스),광주학강초등학교,광주동성중학교,광주동성고등학교,,광주학강초등학교-광주동성중학교-광주동성고등학교,3루수
2026,키움,어준서,좌,우,3976950,대한민국 서울특별시,2006-11-27,183.0,87.0,2025.0,2025년 3라운드(키움 히어로즈),서울수유초등학교,자양중학교,경기고등학교,,서울수유초등학교-자양중학교-경기고등학교,유격수
2026,키움,김건희,우,우,3612591,대한민국 대전광역시,2004-11-07,185.0,96.0,2023.0,2023년 1라운드(키움 히어로즈),신흥초등학교,온양중학교,원주고등학교,,신흥초등학교-온양중학교-원주고등학교,포수
2026,키움,최재영,우,우,10000013,,2007-01-08,183.0,,,,,,,,,3루수
2026,키움,김재현,우,우,715619,대한민국 전북특별자치도 전주시,1993-03-18,178.0,90.0,2012.0,2012년 8라운드(넥센 히어로즈),전주금평초등학교,전라중학교,대전고등학교,,전주금평초등학교-전라중학교-대전고등학교,포수
2026,키움,임지열,우,우,1004270,대한민국 대전광역시,1995-08-22,180.0,94.0,2014.0,2014년 2차 2라운드(넥센 히어로즈),대전신흥초등학교,건국대학교 사범대학 부속중학교,덕수고등학교,,대전신흥초등학교-건국대학교 사범대학 부속중학교-덕수고등학교,좌익수
2026,키움,박수종,우,우,3663057,대한민국 서울특별시,1999-02-25,179.0,82.0,2022.0,지명없음(육성선수 입단),서울도신초등학교,강남중학교,충암고등학교,경성대학교,서울도신초등학교-강남중학교-충암고등학교-경성대학교,중견수
